tahun;kecamatan ;desa ;tgl kejadian;jenis bencana;jumlah kejadian;korban jiwa;ruksak berat;ruksak sedang;rusak rigan
2020;Bungbulang;Hegarmanah;14/01/2020;Tanah Longsor;1;9;;;
2020;Kersamanah;Nanjungjaya;14/01/2020;Angin Puting Beliung;1;3;1;;
2020;Cisewu;Mekarsewu;16/01/2020;Tanah Longsor;1;;;;
2020;Kadungora;Karang Tengah ;16/01/2020;Banjir;1;4;;;2
2020;Leles;Leles;16/01/2020;Banjir;1;-;;;
2020;Cibatu;Kertajaya;17/01/2020;Angin Puting Beliung;1;90;5;;25
2020;Tarogong Kaler;Jati;20/01/2020;JEBOL TPT;1;;;;
2020;Bayongbong;Panembong;21/01/2020;Banjir;1;;;;
2020;Bayongbong;Panembong;21/01/2020;Tanah Longsor;1;;;;
2020;Tarogong Kidul;Haurpanggung;21/01/2020;Kebakaran Pasar;1;;;;
2020;Pamulihan;Garumukti;22/01/2020;Tanah Longsor;1;;;;
2020;Bayongbong;Panembong;23/01/2020;Tanah Longsor;1;;;;
2020;Cisewu;Girimukti;24/01/2020;Tanah Longsor;1;;;;
2020;Cisewu;Panggalih;24/01/2020;Tanah Longsor;1;;;;
2020;Cigedug;Cintanagara;24/01/2020;Tanah Longsor;1;;;;
2020;Cikajang;Cipangramatan;24/01/2020;Tanah Longsor;1;;;;
2020;Cibatu;Karyamukti;25/01/2020;Tanah Longsor;1;;;;1
2020;Pamulihan;Pakenjeng;26/01/2020;Tanah Longsor;1;;;;
2020;Talegong;Mekarmukti;26/01/2020;Tanah Longsor;1;;;;
2020;Sukaresmi;Mekarjaya;26/01/2020;Tanah Longsor;1;;;;
2020;Malangbong ;Mekar Asih ;27/01/2020;Tanah Longsor;1;;;;
2020;Singajaya;Singajaya;27/01/2020;Tanah Longsor;1;;;;
